URL,Name,Description,Products,Featured,New Exhibitor,Sponsoring,Verified Description,Number of Employees,Market Cap,Other Useful Information,Accuracy Note
https://www.aircraftinteriorsexpo.com/en-gb/exhibitor-directory.html#/,Capalex,Not given,Not provided,Yes,No,Sponsor of Metals,,,,Featured: Yes | Sponsoring: Sponsor of Metals,No reliable external verification completed
https://www.aircraftinteriorsexpo.com/en-gb/exhibitor-directory.html#/,Safran SA,Not given,Not provided,Yes,No,No,,,,Featured: Yes,No reliable external verification completed
https://www.aircraftinteriorsexpo.com/en-gb/exhibitor-directory.html#/,J&C AERO,Not given,Not provided,Yes,No,No,,,,Featured: Yes,No reliable external verification completed
https://www.aircraftinteriorsexpo.com/en-gb/exhibitor-directory.html#/,Lantal Textiles AG,Not given,Not provided,Yes,No,No,,,,Featured: Yes,No reliable external verification completed
https://www.aircraftinteriorsexpo.com/en-gb/exhibitor-directory.html#/,LSEAT BV,Not given,Not provided,Yes,No,No,,,,Featured: Yes,No reliable external verification completed
https://www.aircraftinteriorsexpo.com/en-gb/exhibitor-directory.html#/,Mario Levi Spa,Not given,Not provided,Yes,No,New Exhibitor,,,,Featured: Yes | Sponsoring: New Exhibitor,No reliable external verification completed
https://www.aircraftinteriorsexpo.com/en-gb/exhibitor-directory.html#/,Bernhard Jürgenhake Gesellschaft für Kabelkonfektionen und Metallverarbeitung mbH,"As a supplier, we have been successfully developing and assembling cable harnesses and special solutions for years, with a focus on the automotive, aviation and new mobility sectors.
Whether batch size 1 or X-thousand, we produce several thousand different products in our highly efficient production lines.
Thanks to specially developed assembly and test tables, as well as other quality assurance systems, which we integrate into the ongoing production process, we supply our customers error-free.",Not provided,No,No,No,"As a supplier, we have been successfully developing and assembling cable harnesses and special solutions for years, with a focus on the automotive, aviation and new mobility sectors.
Whether batch size 1 or X-thousand, we produce several thousand different products in our highly efficient production lines.
Thanks to specially developed assembly and test tables, as well as other quality assurance systems, which we integrate into the ongoing production process, we supply our customers error-free.",,,,From uploaded AIX data only; web verification still required
https://www.aircraftinteriorsexpo.com/en-gb/exhibitor-directory.html#/,3Deus Dynamics,"3Deus Dynamics is a French deep-tech company transforming aerospace and defense manufacturing with a patented additive process called Dynamic Molding. This mold-free, support-free technology enables complex geometries and embedded functionalities in high-performance silicones without chemical reformulation. The company delivers durable, mission-critical parts, prototypes, and small series production, supporting clients from R&D to industrial deployment with full control of materials and processes.","Cockpit Doors, Environment Systems/Air Conditioning, Finishing, Galleys & Galley Equipment, Lavatory & Waste Equipment, Lighting/LED, Plastic Mouldings, Repairs & Restoration, Safety, Emergency & Security, Wiring & Fibre Optics",No,No,No,"3Deus Dynamics is a French deep-tech company transforming aerospace and defense manufacturing with a patented additive process called Dynamic Molding. This mold-free, support-free technology enables complex geometries and embedded functionalities in high-performance silicones without chemical reformulation. The company delivers durable, mission-critical parts, prototypes, and small series production, supporting clients from R&D to industrial deployment with full control of materials and processes.",,,"Products: Cockpit Doors, Environment Systems/Air Conditioning, Finishing, Galleys & Galley Equipment, Lavatory & Waste Equipment, Lighting/LED, Plastic Mouldings, Repairs & Restoration, Safety, Emergency & Security, Wiring & Fibre Optics",From uploaded AIX data only; web verification still required
https://www.aircraftinteriorsexpo.com/en-gb/exhibitor-directory.html#/,5M S.R.O,Not given,Not provided,Yes,No,No,,,,Featured: Yes,No reliable external verification completed
https://www.aircraftinteriorsexpo.com/en-gb/exhibitor-directory.html#/,A & C PRODUCTS,Not given,Not provided,No,Yes,No,,,,New Exhibitor: Yes,No reliable external verification completed
https://www.aircraftinteriorsexpo.com/en-gb/exhibitor-directory.html#/,A2C - Air Cost Control,"A2C is a leading stocking distributor specializing in electrical parts for the aerospace industry. With Headquarters in Toulouse, support facilities in Miami, Hamburg, Paris, Madrid, Dubai, Beijing, Air Cost Control provides component level support to aircraft manufacturers, sub-contractors, IFE integrators, maintenance facilities and major airlines. The extensive line of electrical hardware at Air Cost Control includes standard wire/cable, sleeving, conduit, tubing, wire terminals, connectors, accessories, circuit breakers, relays and more.",Not provided,No,No,No,"A2C is a leading stocking distributor specializing in electrical parts for the aerospace industry. With Headquarters in Toulouse, support facilities in Miami, Hamburg, Paris, Madrid, Dubai, Beijing, Air Cost Control provides component level support to aircraft manufacturers, sub-contractors, IFE integrators, maintenance facilities and major airlines. The extensive line of electrical hardware at Air Cost Control includes standard wire/cable, sleeving, conduit, tubing, wire terminals, connectors, accessories, circuit breakers, relays and more.",,,,From uploaded AIX data only; web verification still required
https://www.aircraftinteriorsexpo.com/en-gb/exhibitor-directory.html#/,AAR,"AAR is an independent provider of aviation services to commercial and government customers around the world. Founded in 1955, the company today has revenues of approximately 2.8 billion with ~8.000 employees supporting operations in over 20 countries. AAR’s award-winning Solutions include Parts Supply, MRO Services, Integrated Solutions, and Mobility Systems.","Connectors, Galleys & Galley Equipment, Hardware, Lavatory & Waste Equipment, Lighting/LED, Power Supply, Seating, Passenger Service System, EWIS (Electrical Wiring Interconnection System)",No,No,No,"AAR is an independent provider of aviation services to commercial and government customers around the world. Founded in 1955, the company today has revenues of approximately 2.8 billion with ~8.000 employees supporting operations in over 20 countries. AAR’s award-winning Solutions include Parts Supply, MRO Services, Integrated Solutions, and Mobility Systems.",,,"Products: Connectors, Galleys & Galley Equipment, Hardware, Lavatory & Waste Equipment, Lighting/LED, Power Supply, Seating, Passenger Service System, EWIS (Electrical Wiring Interconnection System)",From uploaded AIX data only; web verification still required
https://www.aircraftinteriorsexpo.com/en-gb/exhibitor-directory.html#/,Above,"The ABOVE cloud-based media distribution concept started in 2015 with the vision to streamline the IFE media supply chain. The success of the proof of concept and the need for an autonomous, agnostic and specialized platform lead to the incorporation of ABOVE in 2020.

ABOVE has a strong competitive edge with a highly qualified team with a unique combination of IFE and digital video services, a technology head start with a proven platform and the size, speed and flexibility that allows for a no-frills service focus and quick adaptation to customer needs.","Content/Software, Media",No,No,No,"The ABOVE cloud-based media distribution concept started in 2015 with the vision to streamline the IFE media supply chain. The success of the proof of concept and the need for an autonomous, agnostic and specialized platform lead to the incorporation of ABOVE in 2020.

ABOVE has a strong competitive edge with a highly qualified team with a unique combination of IFE and digital video services, a technology head start with a proven platform and the size, speed and flexibility that allows for a no-frills service focus and quick adaptation to customer needs.",,,"Products: Content/Software, Media",From uploaded AIX data only; web verification still required
